Date,Observed,Inflow_cms,Outflow_cms,Precip_mm,Evap_mm,Runoff_cms,P_minus_E_m,Seconds,Runoff_h,s_t,WO_opt,Controlled,Release_m
2012-01-01,74.8,6690,6541.19093479765,89.59,92.734,1593.0,-0.0031439999999999914,2678400,0.22503645569620254,0.22189245569620256,74.72,74.8,0.0
2012-02-01,74.99,6480,6796.0425296599,37.81,65.762,1314.0,-0.027951999999999998,2505600,0.17364759493670887,0.14569559493670886,74.82,74.82,0.22291409072985857
2012-03-01,74.97,6250,8240.20156721262,45.03,43.498,1594.0,0.0015320000000000036,2678400,0.22517772151898735,0.22670972151898736,74.84,74.84,0.08392997456139994
2012-04-01,74.92,6040,7843.76575298246,60.91,50.333,901.0,0.010576999999999998,2592000,0.1231746835443038,0.1337516835443038,75.0,74.78556225961908,0.0
2012-05-01,74.91,5730,7560.59731424663,62.29,12.918,980.0,0.049372,2678400,0.13844050632911392,0.18781250632911392,75.15,74.67272318199616,0.0
2012-06-01,74.9,5660,6852.67621740706,97.5,43.864,515.0,0.053636,2592000,0.07040506329113924,0.12404106329113924,75.16,74.60193485254055,0.0
2012-07-01,74.79,5440,6711.09199803915,62.78,66.866,239.0,-0.0040859999999999985,2678400,0.03376253164556962,0.029676531645569618,75.13,74.56292650889503,0.0
2012-08-01,74.65,5320,6569.50777867123,60.96,86.761,231.0,-0.025800999999999994,2678400,0.03263240506329114,0.006831405063291145,75.01,74.4130411836024,0.0
2012-09-01,74.5,5130,6512.87409092407,117.69,97.684,308.0,0.020006,2592000,0.04210632911392405,0.062112329113924045,74.82,74.24335984423568,0.0
2012-10-01,74.34,5030,6456.2404031769,118.78,74.667,616.0,0.044113,2678400,0.08701974683544304,0.13113274683544304,74.65,74.11642103180556,0.0
2012-11-01,74.29,5220,5861.58668183166,28.1,96.318,655.0,-0.06821799999999999,2592000,0.08954430379746836,0.021326303797468374,74.56,74.04607475459729,0.0
2012-12-01,74.28,5090,6144.75512056749,113.55,90.704,1158.0,0.022846000000000005,2678400,0.16358582278481013,0.18643182278481013,74.57,73.97969047404308,0.0
2013-01-01,74.38,5390,5946.53721345241,66.52,103.24,1359.0,-0.036719999999999996,2678400,0.19198025316455697,0.15526025316455697,74.72,74.01712144688443,0.0
2013-02-01,74.52,5270,5946.53721345241,83.7,76.726,1335.0,0.006974000000000004,2419200,0.17033924050632912,0.17731324050632913,74.82,74.09376201268027,0.0
2013-03-01,74.57,5260,6427.92355930332,30.07,45.111,1534.0,-0.015040999999999997,2678400,0.21670177215189873,0.20166077215189873,74.84,74.18475253025494,0.0
