Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  54.973,  18.959,  20.166,   1.775,  -4.655,  23.527,  49.731, 121.320, 141.010, 159.393, 165.801,  65.343
1941,  45.408,  38.077,  24.527,  -1.674,  15.184,  31.805,  94.430, 151.901, 163.186, 168.947, 159.629,  82.856
1942,  53.703,  28.290,   8.400,   1.730,  15.504,  40.536,  79.477, 131.627, 199.656, 163.184, 151.419,  87.018
1943,  43.487,  25.120,  21.282,   9.781,  -6.164,  10.850,  51.090, 111.992, 171.638, 184.736, 127.339,  86.894
1944,  25.825,  23.933,  26.088,   2.765,  -1.130,  32.771,  91.530, 132.905, 148.026, 193.626, 120.971, 107.169
1945,  35.768,  13.598,  -1.013,   3.359,  22.843,  18.712,  75.435, 122.860, 155.409, 183.172, 146.157,  86.774
1946,  42.190,  25.122,   1.242,   7.746,  21.437,  31.030,  95.188, 148.596, 132.776, 155.992, 176.427, 119.172
1947,  36.307,  44.363,  22.162,  -2.076,  -0.808,  10.237,  62.145,  80.788, 199.214, 117.644, 210.690,  94.582
1948,  52.700,  17.340,   9.854,  -2.576,   5.813,  22.945,  72.619, 109.450, 161.398, 197.894, 130.617, 110.746
1949,  37.820,  28.013,  31.179,  19.795,  47.505,  28.671,  98.260, 157.338, 221.792, 146.580, 164.174,  82.949
1950,  37.565,  39.809,  30.902,  12.935,   6.380,  46.098,  73.011, 111.460, 153.869, 134.029, 192.162,  89.640
1951,  32.213,  16.876,  13.352,   3.690,  15.367,  33.358,  75.736, 122.420, 175.249, 162.221, 167.408,  77.478
1952,  34.149,  22.208,  19.604,   6.329,  28.145,  33.414,  95.061, 119.475, 175.120, 236.405, 113.078,  77.103
1953,  33.444,  33.941,  20.845,  27.001,  20.278,  33.950,  94.560, 116.555, 194.038, 152.507, 149.927, 122.867
1954,  46.282,  15.130,  31.892,   6.476,  35.190,  34.983,  84.304, 131.358, 146.032, 169.706, 141.502,  98.792
1955,  54.317,  18.248,  22.291,   0.876,  27.058,  50.106,  76.687, 140.305, 180.579, 197.391, 178.122,  81.230
1956,  32.785,  21.111,  22.896,  11.092,  24.873,  33.189,  73.747, 105.650, 178.242, 142.314, 177.191,  70.343
1957,  52.660,  14.067,  13.277,   9.728,  31.630,  33.748,  83.723, 137.310, 161.233, 193.524, 144.043,  77.160
1958,  45.757,  38.921,   6.655,   2.165,  21.519,  46.449,  53.540, 118.016, 138.993, 180.966, 152.055,  95.706
1959,  36.879,  16.152,  13.054,  -1.075,  -0.063,  31.672,  64.432,  84.617, 161.837, 192.875, 157.457,  68.905
1960,  42.034,  41.376,  38.321,   0.875,   7.097,  39.417,  86.129, 100.292, 140.957, 207.715, 135.363, 118.634
1961,  32.377,   8.385,   8.372,   2.345,  18.928,  31.303,  46.856, 102.587, 155.689, 188.984, 155.429, 110.539
1962,  44.542,  17.870,  10.423,   1.943,  -1.886,  24.690,  89.324, 100.968, 173.182, 167.505, 122.850, 108.910
1963,  37.982,  25.273,   6.575,  -0.907,  -2.021,  14.824,  59.431, 115.984, 146.544, 128.535, 153.642, 119.777
1964,  34.080,  27.171,  13.917,   2.385,  20.989,  34.447,  85.770, 135.147, 171.684, 178.187, 124.131,  84.758
1965,  50.369,  25.071,  16.804,   0.867,   4.293,  36.788,  82.589, 116.718, 118.430, 202.491, 132.985,  71.614
1966,  62.428,  14.885,  11.818,   2.741,  27.020,  22.320,  94.162, 113.845, 185.404, 186.431, 112.392,  93.425
1967,  42.326,  44.518,  13.084,   3.827,  22.972,  27.113,  73.692, 128.298, 164.602, 166.698, 153.429,  70.090
1968,  38.922,  29.370,  12.029,   0.026,   3.152,  25.550,  65.447, 112.080, 124.315, 198.396, 140.734, 112.552
1969,  39.922,  20.250,  20.670,  -1.234,   7.216,  27.360,  54.894, 109.399, 167.395, 199.222, 131.480,  89.722
1970,  35.481,  22.347,  14.601,   1.030,  -4.596,  17.739,  40.515, 107.162, 131.106, 156.072, 162.010,  97.120
1971,  51.561,  19.447,  21.468,   6.289,   0.732,   7.139,  77.479,  96.329, 103.668, 124.550, 192.999,  92.366
1972,  62.819,  27.345,  17.100,   6.306,   1.652,  38.252,  52.390,  94.509, 134.434, 191.287, 123.467,  70.259
1973,  47.139,  34.877,   5.911,  14.531,  20.884,  24.760,  72.638,  96.990, 177.759, 166.105, 158.102, 109.957
1974,  30.914,  39.552,  21.366,   6.428,  20.367,  37.141,  75.068,  96.393, 178.146, 163.521, 125.892,  79.615
1975,  38.938,  32.102,  27.819,  19.689,   0.539,  19.629,  83.759, 107.867, 182.319, 161.151, 123.854, 109.780
1976,  54.053,  12.240,   9.813,  10.425,  23.713,  23.097,  71.748, 126.212, 170.829, 208.736, 145.588,  72.458
1977,  39.143,  17.842,   5.488,  -0.058,  -3.942,  11.222,  48.539,  91.453, 123.754, 201.428, 139.411,  98.560
1978,  44.117,  20.832,  12.022,  -0.312,  -5.169,   0.595,  38.799,  67.511, 129.983, 183.206, 132.057, 104.255
1979,  41.524,  24.495,   8.684,   0.675,  -1.867,  18.649,  37.178,  88.308, 133.535, 192.138, 124.564,  95.330
1980,  53.823,  29.649,  12.764,  -0.764,   0.425,  33.188,  46.496,  77.646, 167.169, 231.432, 134.603,  83.752
