Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  74.383,  28.674,  30.868,   3.941,  -4.815,  -7.261,  -0.211,  35.102,  54.676,  62.916, 111.454,  82.811
1941,  84.479,  65.609,  47.580,   0.588,  -1.517,   1.706,  27.345,  64.888,  61.352,  67.475, 105.703,  94.333
1942, 130.597,  71.953,  25.029,   7.970,   1.702,   7.439,  18.914,  60.748,  95.844,  69.034, 121.517, 137.885
1943, 106.030,  64.892,  41.497,  22.301,  -5.578,  -1.869,   5.364,  39.001,  81.306,  79.893,  95.650, 139.233
1944,  51.690,  58.955,  47.493,  20.608,  -3.566,  -6.962,   5.758,  38.576,  48.846,  79.578,  66.673, 134.396
1945,  85.776,  34.201,   5.851,  11.919,   2.222,  -1.986,  14.241,  43.398,  67.780,  78.757,  97.537, 121.150
1946,  59.524,  49.325,   8.930,   8.075,   3.859,   1.060,  22.463,  70.659,  52.543,  60.822,  96.748, 138.539
1947,  91.623,  75.884,  48.536,   5.727,  -1.664,  -3.274,  12.563,  19.400,  90.450,  35.383, 132.017, 136.459
1948, 127.950,  44.438,  30.577,   7.064,   0.589,   2.139,  14.799,  35.583,  53.822,  86.672,  69.589, 137.934
1949,  93.267,  52.330,  43.762,   9.200,   0.063,  -1.828,  11.088,  45.612,  83.793,  56.780,  98.652, 102.060
1950,  86.145,  55.733,  44.194,  21.278,  -2.713,  -4.275,   1.032,  25.029,  43.620,  42.075,  96.669, 105.954
1951,  56.770,  30.924,  25.327,   2.398,  -3.060,  -4.451,   1.269,  33.819,  66.360,  60.577, 119.847,  95.089
1952,  58.788,  43.560,  35.436,   8.606,  -1.604,  -4.312,   5.447,  26.780,  63.831, 118.564,  73.394,  72.862
1953,  70.501,  43.512,  30.026,  14.094,  -0.370,  -0.980,  19.408,  30.909,  77.636,  56.821,  68.870, 104.719
1954, 104.577,  32.927,  58.138,  13.968,   4.386,  -2.493,  16.582,  50.314,  45.853,  56.734,  75.464, 104.580
1955,  90.691,  41.783,  53.437,   2.270,  -1.757,   1.263,  11.150,  48.097,  78.954,  58.466, 110.452, 116.559
1956,  68.247,  46.221,  43.525,  12.140,   1.108,  -2.466,   7.724,  26.356,  67.886,  45.878,  93.007,  85.273
1957,  83.093,  29.532,  23.587,  12.586,   1.821,  -3.652,   7.850,  48.786,  57.797,  68.597,  87.505,  89.734
1958,  76.387,  58.491,  12.454,  11.320,   4.758,   7.594,   7.910,  48.998,  47.503,  66.285, 104.580, 147.086
1959,  81.060,  36.818,  19.827,   1.931,  -5.236,  -5.861,  -6.519,  -3.173,  50.436,  71.110, 106.037,  70.409
1960,  59.649,  47.677,  40.764,   2.332,  -3.779,  -4.857,  -3.909,   7.040,  39.469,  63.840,  74.835, 118.971
1961,  65.023,  22.950,  16.165,   3.491,  -0.100,  -5.276,  -4.862,   6.533,  38.245,  53.051,  73.938,  94.519
1962,  74.886,  31.056,  10.909,   5.674,  -3.996,  -4.883,  -1.242,  10.697,  59.826,  51.249,  69.768, 102.899
1963,  68.583,  26.447,  14.609,   4.077,  -1.911,  -4.956,  -5.533,   9.522,  39.991,  34.349,  69.428, 108.418
