Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  61.002,  41.803,  18.071,   5.152,  -2.312,  -2.269,   8.605,  33.444,  57.850,  64.690,  99.877, 110.454
1941,  90.363,  44.831,  28.206,   8.706,  -0.884,   1.784,  15.544,  37.818,  58.704,  66.003, 101.280, 113.687
1942,  97.423,  46.052,  31.084,   9.109,  -0.380,   2.709,  16.964,  38.525,  59.030,  66.327, 101.800, 114.223
1943,  98.491,  46.260,  31.440,   9.169,  -0.292,   2.855,  17.213,  38.644,  59.083,  66.379, 101.877, 114.306
1944,  98.646,  47.583,  30.629,   8.618,  -0.361,   2.917,  17.857,  39.364,  60.280,  66.974, 103.698, 113.841
1945,  97.199,  45.973,  14.974,  11.874,  12.926,   8.867,  25.063,  46.474,  70.412,  84.994, 110.646, 161.404
1946,  93.443,  50.972,   4.848,  11.203,   3.963,  12.115,  30.266,  40.864,  61.404,  53.297, 104.303, 134.010
1947, 114.952,  84.315,  25.744,   6.374,  -3.815,  -0.411,  24.954,  22.368, 117.099,  30.616, 128.811,  98.969
1948, 124.854,  43.179,  34.240,   3.160,   1.775,   3.250,  13.643,  33.012,  60.432,  90.331,  73.103, 126.484
1949,  89.227,  48.865,  41.299,  14.574,   5.741,   3.391,  21.593,  54.102,  92.864,  63.966, 105.634, 112.951
1950, 103.478,  53.968,  46.870,  28.923,  -0.472,  -2.002,   8.180,  46.518,  44.456,  49.189, 136.480, 122.226
1951,  62.384,  38.246,  36.373,   1.850,  -3.215,  -4.925,  -1.786,  22.211,  67.776,  52.804, 114.508,  93.737
1952,  52.250,  33.296,  34.609,  10.739,  -1.118,  -3.684,  10.171,  34.175,  69.374, 124.460,  79.627,  78.954
1953,  74.535,  44.232,  30.283,  17.383,  -0.746,  -0.525,  21.895,  34.915,  90.685,  59.968,  88.559, 125.360
1954, 103.780,  30.687,  59.664,  12.765,   8.914,  -1.269,  17.316,  46.522,  52.047,  72.814,  79.880, 107.802
1955, 104.506,  44.385,  45.765,   0.898,  -0.082,   6.587,  12.434,  56.841,  83.670,  69.513, 139.171, 132.905
1956,  63.528,  45.788,  44.786,  19.351,   0.101,  -0.576,  13.457,  28.159,  75.935,  48.806, 121.533, 100.739
1957, 100.871,  33.917,  25.680,  13.053,  -0.300,  -4.356,   6.682,  46.746,  68.772,  74.643, 107.277, 106.993
1958,  70.477,  62.658,  14.901,  12.532,   4.757,   8.148,  11.539,  49.111,  53.020,  60.710, 108.042, 137.862
1959,  84.007,  44.275,  24.680,   1.431,  -5.047,  -4.706,   2.338,   7.535,  72.298,  79.441, 120.645,  69.341
1960,  67.486,  53.714,  52.010,   3.543,  -2.263,  -4.250,   7.876,  22.813,  58.123,  72.424,  94.321, 139.827
1961,  75.916,  25.851,  18.322,  14.603,   4.834,   4.776,  10.122,  35.472,  66.440,  66.442,  89.917, 122.501
1962,  99.169,  44.779,  16.998,   6.866,  -4.859,  -3.671,  11.839,  26.296,  72.438,  62.568,  69.497, 120.874
1963,  85.330,  45.383,  15.710,   1.712,  -2.013,  -5.103,  -0.122,  35.186,  49.997,  38.172,  86.368, 136.097
1964,  63.429,  51.862,  48.857,  11.010,  -4.409,  -0.953,  14.761,  54.843,  63.772,  76.105,  74.024, 115.731
1965,  81.377,  52.632,  34.270,   4.260,  -4.001,  -3.108,   8.769,  35.022,  43.710,  64.847,  75.895,  71.305
1966,  96.928,  33.765,  22.155,  11.433,  10.058,   0.924,  21.310,  48.519,  75.426,  84.950,  95.385,  97.207
1967,  75.196,  64.595,  28.586,  11.464,   5.666,  -3.783,  10.526,  48.664,  68.450,  71.340,  93.969,  87.793
1968,  67.550,  63.584,  22.256,   5.398,   0.581,  -1.431,  12.835,  41.728,  39.474,  74.120,  82.459, 126.013
1969,  74.867,  39.887,  46.971,   6.696,   0.017,   6.248,   8.054,  35.673,  76.967,  84.241,  89.056, 108.186
1970,  83.658,  48.982,  30.656,   8.656,  -2.451,   0.480,  10.841,  43.859,  58.525,  53.645, 101.184, 112.595
1971, 103.600,  40.235,  28.457,  11.724,   1.113,  -2.560,  30.603,  40.297,  42.817,  39.713, 108.438,  89.846
1972, 120.011,  48.950,  41.344,  19.648,   1.216,  16.331,  15.291,  27.015,  60.091,  87.764,  72.384, 100.115
1973,  69.188,  47.622,  10.887,  12.476,   0.482,  -4.033,   5.540,  16.123,  59.853,  46.009,  90.132, 109.791
1974,  70.909,  51.719,  31.693,   7.515,  -0.345,  -2.943,   2.366,  21.095,  66.445,  54.942,  70.370,  82.357
1975,  79.657,  39.115,  39.355,  19.132,  -3.919,  -5.988,   4.280,  23.454,  59.888,  53.868,  63.720,  99.312
1976, 105.936,  29.924,  32.413,  10.162,   2.169,   0.934,  17.260,  41.092,  71.895,  86.246, 114.754, 122.795
1977,  72.630,  30.804,   7.958,   1.921,  -4.757,  -6.328,  -6.205,  11.413,  20.784,  60.988,  84.745, 108.110
1978,  77.704,  41.131,  21.409,   2.268,  -5.175,  -6.004,  -7.169,   0.195,  28.838,  63.852,  82.013, 110.835
1979,  71.061,  42.935,  14.709,   4.741,  -4.410,  -6.641,  -7.146,  -4.149,  17.262,  62.284,  68.205,  75.429
1980,  70.239,  45.731,  28.832,   0.718,  -2.821,  -5.460,  -5.481,   1.091,  43.178,  87.767,  75.283, 109.672
1981,  58.208,  35.899,  17.695,   3.024,   0.859,  -6.045,   2.952,   8.502,  58.574,  70.438,  69.250, 103.447
1982, 107.240,  34.750,  21.903,  10.660,  -5.724,  -4.510,  -7.833,   9.975,  31.301,  50.430,  80.257,  80.026
1983,  66.347,  30.983,  34.437,  18.365,   2.668,  -1.069,   4.013,  23.999,  74.612,  63.407,  96.032, 157.325
1984,  67.711,  21.708,  39.421,   3.460,  -0.545,  -7.213,  -1.231,  12.933,  52.984,  39.736,  84.536,  97.458
1985,  90.656,  39.879,  16.546,   2.945,  -3.910,  -1.601,   4.151,  16.297,  42.039,  53.459,  96.323, 136.735
1986,  55.592,  40.102,  20.144,   2.888,  -2.470,  -5.017,  -5.537,  28.287,  28.041,  52.127, 110.559,  89.985
