Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  60.038,  45.179,  29.942,   6.470,  -1.566,   5.721,  40.659,  66.766,  75.109,  76.018,  89.869, 107.371
1941, 103.777,  53.822,  36.985,   9.328,   3.032,  19.546,  49.850,  68.219,  75.518,  77.081,  90.277, 110.155
1942, 111.105,  80.497,  28.229,  11.749,  -0.695,  20.489,  43.726,  68.389, 102.134,  67.520, 103.220, 159.706
1943, 107.948,  66.690,  49.576,  32.773,  -3.904,  -5.234,  16.894,  65.186,  83.936,  82.182,  94.189, 156.663
1944,  67.998,  57.185,  33.638,   7.766,   0.581,  13.982,  47.923,  68.314,  75.805,  76.808,  91.080, 109.016
1945, 107.706,  54.806,  37.403,   9.552,   3.871,  21.023,  50.410,  68.367,  75.611,  77.613,  90.306, 110.365
1946, 137.324,  72.615,  16.270,  23.137,  13.426,  23.234,  63.782,  78.348,  59.482,  70.410, 109.210, 171.742
1947, 115.595,  97.024,  53.710,  12.735,  -0.493,  -5.375,  23.312,  29.858, 113.939,  47.075, 130.601, 142.387
1948, 105.023,  42.567,  26.214,   7.864,  -1.219,   3.829,  46.045,  64.865,  83.882,  88.997,  57.973, 118.445
1949,  98.394,  61.876,  51.377,  17.483,  34.601,  18.750,  56.226,  89.948,  97.306,  57.620, 105.815, 114.808
1950,  73.115,  72.485,  45.171,  22.208,   5.856,  40.311,  59.707,  70.417,  87.423,  62.116,  85.603,  85.483
1951,  70.699,  38.455,  34.168,   9.498,  18.180,  40.662,  70.459,  89.045, 101.487,  72.582,  96.627,  89.062
1952,  68.874,  43.573,  33.320,  11.409,  39.605,  47.465,  75.111,  89.461,  97.080, 116.304,  62.585,  75.685
1953,  69.889,  62.935,  42.799,  46.248,  33.903,  38.354,  81.462,  82.809, 108.329,  68.559,  66.580,  96.406
1954,  97.301,  45.318,  55.102,  22.096,  44.145,  42.696,  77.109,  98.513,  81.504,  67.491,  69.535,  89.855
1955,  94.453,  47.564,  46.783,   8.098,  35.269,  53.700,  84.245,  97.547,  99.815,  72.077, 114.595, 121.648
1956,  93.136,  47.979,  54.460,  12.937,  11.155,  25.113,  56.462,  63.749,  95.153,  62.093,  89.343, 103.117
1957, 115.109,  40.534,  36.043,  18.428,  21.599,  25.984,  66.071,  98.499,  82.714,  80.766,  96.484,  95.501
1958, 111.709,  77.620,  20.845,  13.916,  25.979,  52.952,  40.698,  81.824,  75.190,  88.990,  97.605, 146.630
1959,  99.135,  65.060,  40.598,   8.441,  -1.037,  13.625,  38.775,  57.035, 101.454,  99.412, 109.303,  92.516
1960,  98.772,  53.847,  61.403,   8.422,  -2.989,  19.501,  62.298,  71.770,  74.774,  98.333,  74.584, 146.926
1961, 107.638,  29.766,  32.558,  14.814,  10.483,  22.160,  32.962,  74.736,  81.274,  85.785,  90.925, 118.560
1962, 129.466,  53.853,  24.546,  14.779,   0.437,  18.859,  83.529,  58.345,  99.175,  70.667,  82.502, 125.656
1963, 102.077,  56.621,  18.603,  10.603,   2.924,  18.242,  54.450, 107.215,  78.235,  51.876,  59.077, 104.327
1964,  75.377,  52.508,  34.885,  16.035,  37.993,  51.449,  67.577,  86.215,  74.571,  71.920,  62.053,  71.131
1965, 127.337,  59.520,  45.796,  13.161,   1.291,  22.563,  56.543,  70.108,  53.031,  94.092,  76.339,  74.148
1966, 127.370,  41.158,  35.028,  13.082,  16.499,  10.719,  63.398,  72.417,  97.578,  82.011,  61.347, 113.454
1967,  91.720,  87.755,  33.580,  14.953,  11.259,  13.115,  38.960,  70.407,  88.293,  74.896, 109.038,  90.076
1968,  93.787,  83.060,  24.537,   6.795,   0.254,  10.698,  36.383,  66.189,  59.879,  77.346,  83.865, 144.098
1969, 102.500,  48.631,  49.714,   4.945,   1.011,   8.052,  31.766,  70.009,  87.339,  93.341,  76.102, 126.112
1970,  96.941,  52.936,  38.135,  13.040,  -0.089,  14.264,  26.448,  74.263,  65.629,  60.363,  81.385, 117.198
1971, 139.553,  45.536,  50.719,  17.906,  -0.756,  -2.120,  43.775,  64.428,  50.337,  46.868, 113.037,  93.757
1972, 124.652,  69.430,  48.591,  20.513,  -2.339,   4.898,  25.917,  49.880,  71.681, 103.203,  80.565,  76.959
1973,  61.584,  48.077,  18.934,  37.383,  43.649,  46.897,  77.237,  64.181,  77.366,  60.150,  62.973,  64.461
1974,  58.537,  54.878,  42.717,  26.620,  47.190,  55.997,  67.422,  68.172,  76.786,  68.376,  49.693,  50.445
1975,  57.527,  46.322,  46.136,  38.059,  29.088,  57.554,  79.206,  75.668,  69.412,  53.585,  45.705,  72.355
1976,  78.233,  41.653,  34.685,  40.913,  52.792,  51.199,  69.249,  71.925,  70.540,  72.317,  64.461,  82.830
1977,  87.757,  34.803,  28.254,  16.329,  16.639,  52.667,  70.601,  93.312,  78.106,  88.996,  63.461, 112.774
1978, 114.204,  46.850,  29.521,  14.418,   3.296,  38.903,  73.093,  74.569, 100.453,  79.577,  82.418, 103.150
1979,  85.042,  53.759,  22.058,  17.912,   4.723,  26.999,  24.839,  65.213,  74.010,  91.134,  62.996, 110.287
1980, 125.494,  70.095,  42.195,   8.421,   0.324,  21.245,  22.903,  50.967,  98.916, 104.148,  99.515, 138.262
1981,  80.091,  29.060,  30.815,  10.619,  -0.303,   3.622,  35.913,  52.601, 101.395,  76.514,  78.209, 107.823
1982, 122.478,  47.374,  29.094,  28.072,  -2.965,  -3.386,   7.944,  68.790,  46.644,  73.914,  79.513,  81.363
1983,  93.160,  46.384,  41.655,  15.702,  11.334,  13.760,  35.504,  57.813,  90.041,  98.850,  87.417, 143.095
1984,  82.204,  33.454,  55.267,   5.575,   0.781,   1.827,  23.625,  50.477,  88.751,  53.770,  95.122,  95.498
1985, 109.368,  46.343,  34.857,  16.573,  -1.234,   6.058,  27.432,  53.705,  58.063,  81.497,  89.351, 134.324
1986,  77.946,  49.408,  24.221,   5.282,  -0.121,   5.683,  12.918,  74.753,  55.439,  73.030,  95.514,  92.347
1987,  94.174,  51.734,  29.711,   5.990,   2.037,  12.009,  36.245,  82.322,  55.857,  90.272,  93.109,  97.387
1988, 112.526,  65.356,  44.833,  11.020,  -1.721,  19.766,  10.083,  72.578,  73.194, 105.108,  65.120, 118.611
1989,  84.554,  61.238,  43.269,  16.003,  -2.208,  -0.621,  28.661,  62.837,  82.070,  80.216, 109.788, 145.354
1990,  34.874,  55.390,  37.035,  12.162,  -0.490,   0.272,  17.761,  49.442,  92.590,  73.768,  90.129,  97.803
1991, 107.367,  43.432,  35.195,   6.741,  -1.420,  18.434,  45.506,  53.216, 107.806,  64.552,  87.044, 109.569
1992,  97.453,  51.368,  52.647,  14.516,   2.452,  15.335,  33.433,  50.073,  74.564,  81.468,  63.760,  98.493
1993,  94.417,  68.323,  35.205,   5.967,  -2.112,  -1.801,  19.670,  42.398,  97.074,  84.968,  80.176,  97.749
1994, 106.650,  56.652,  20.376,   2.293,  -1.845,  -5.301,   1.495,  50.793,  63.831,  67.569,  84.233,  76.525
1995,  85.164,  69.422,  23.294,  26.301,  -0.753,   3.403,  20.862,  67.613,  85.296,  66.743, 112.100, 132.740
1996,  75.676,  48.284,  44.774,  11.878,   0.178,  -5.501,  11.236,  38.512,  69.416,  80.291,  92.637,  73.289
1997, 104.813,  37.091,  38.894,  17.801,   1.165,  -3.996,  15.937,  47.454,  66.539,  82.724,  82.310,  83.518
1998,  67.530,  25.341,  36.565,   8.707,  -0.693,  12.341,  44.851,  51.538,  73.308,  83.811,  81.170,  92.996
1999, 110.970,  39.662,  42.588,  13.099,   2.029,  11.858,  31.783,  77.133,  68.375,  85.208,  75.664, 103.766
