Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  96.873,  51.270,  32.503,   9.390,  -1.099,  -4.318,  -5.272,   2.738,  41.007,  69.166, 109.970, 125.540
1941, 105.179,  55.326,  36.306,  10.383,  -0.522,  -4.178,  -5.178,   3.020,  40.400,  68.116, 109.267, 126.374
1942, 106.864,  57.073,  37.358,  10.525,  -0.366,  -4.144,  -5.078,   3.814,  41.433,  68.688, 109.803, 126.963
1943, 107.321,  56.856,  37.092,  10.514,  -0.348,  -4.138,  -5.058,   4.134,  41.817,  68.908, 110.013, 127.189
1944, 107.550,  58.763,  36.336,   9.914,  -0.491,  -4.219,  -5.014,   4.777,  43.549,  71.017, 111.171, 126.935
1945, 106.526,  56.524,  36.991,  10.481,  -0.408,  -4.150,  -5.095,   3.678,  41.256,  68.595, 109.719, 126.871
1946, 107.232,  56.726,  37.005,  10.502,  -0.357,  -4.139,  -5.067,   4.087,  41.767,  68.879, 109.985, 127.157
1947, 107.518,  57.155,  37.273,  10.533,  -0.329,  -4.137,  -5.048,   4.220,  41.920,  68.970, 110.065, 127.256
1948,  70.518,  45.386,  24.219,   5.599,   5.227,  -2.846,  -0.943,  19.932,  54.907, 108.165, 110.800, 111.149
1949,  80.315,  36.886,  26.646,  14.354,   0.200,  -5.504,  -7.888,  -6.677,  21.050,  51.542,  99.343, 101.773
1950,  56.377,  29.326,  31.757,  22.230,   3.206,  -5.708,  -6.698,  -4.985,  -1.740,  15.470,  90.106,  51.606
1951,  15.145,   5.719,   7.099,   3.532,  -0.454,  -5.134,  -6.575,  -6.165,   2.099,  36.374,  97.877,  67.984
1952,  25.307,  16.923,  21.421,   9.826,  -1.084,  -6.426,  -7.839,  -6.487,  -2.463,  54.236,  75.673,  71.042
1953,  49.536,  21.761,  21.717,  19.793,   0.905,  -7.269,  -7.180,  -7.677,   1.246,  23.727,  74.517,  93.591
1954,  53.966,  18.514,  29.246,   5.863,   0.366,  -6.208,  -6.153,  -5.464,   8.886,  52.671,  58.980,  79.737
1955,  93.879,  67.574,  64.297,   1.321,   0.018,  -5.512,  -8.591,   9.783,  58.976,  51.666, 128.657, 128.281
1956,  87.917,  64.340,  38.382,  22.626,   5.526,  -5.155,  -5.922,  -4.912,  41.332,  42.239, 116.843, 104.579
1957,  77.169,  22.403,  23.078,  11.074,   1.879,  -5.260,  -6.477,  -5.760,  11.274,  45.215, 100.441,  83.577
1958,  54.247,  34.343,  17.783,  12.361,   3.153,  -3.758,  -7.006,  -5.250,  13.909,  47.787, 109.819, 111.547
1959,  59.952,  25.980,  23.830,  11.091,  -0.768,  -5.124,  -6.291,  -7.135,   0.224,  52.959, 108.913,  77.876
1960,  58.504,  28.878,  25.167,   7.672,   1.705,  -4.026,  -5.507,  -6.862,   9.133,  48.904,  95.312, 106.986
1961,  55.783,  22.242,  17.447,  15.936,   3.979,  -4.812,  -6.335,  -5.298,  17.455,  51.803,  83.955,  99.296
1962,  73.834,  25.819,  22.533,  17.457,  -1.739,  -4.305,  -5.137,  -4.734,   7.366,  45.595,  70.974, 102.438
1963,  57.596,  24.248,  21.558,  13.114,   2.455,  -5.336,  -6.087,  -5.998,  -1.511,  10.258,  60.979, 111.656
1964,  66.852,  56.106,  56.726,  13.935,  -2.374,  -3.805,  -3.981,  21.984,  51.573,  67.791,  84.385, 116.507
1965, 111.316,  56.280,  29.662,   7.616,  -2.218,  -3.579,  -3.764,  11.149,  49.381,  60.746, 101.527,  89.055
1966, 118.706,  41.941,  31.883,  13.064,   8.785,  -5.423,  -5.313,   7.430,  61.237,  83.582, 112.881, 117.416
1967,  86.740,  64.551,  31.544,  11.064,   5.205,  -5.492,  -5.316,   6.050,  43.590,  68.970,  96.069, 102.491
1968,  89.755,  72.493,  27.663,   6.416,   0.750,  -4.884,  -4.845,  11.240,  23.568,  61.851,  95.015, 121.803
1969,  93.342,  59.690,  60.087,   9.770,   2.416,  -3.106,  -2.619,   9.430,  59.531,  75.948,  93.099, 117.920
1970, 108.161,  72.582,  45.068,  14.002,   1.298,  -4.141,  -6.007,  10.892,  41.940,  49.975,  92.114, 121.638
1971, 122.748,  54.958,  39.524,  13.249,   0.968,  -4.984,  -0.798,  13.632,  35.810,  49.963, 106.343, 114.748
1972, 130.203,  66.128,  42.743,  17.039,  -1.726,  -3.304,  -5.226,   1.583,  49.110,  86.030,  71.847, 113.316
1973,  74.807,  63.527,  16.692,  18.807,   3.068,  -5.951,  -1.094,   4.750,  58.937,  51.994, 103.908, 117.894
1974, 102.292,  72.590,  58.909,  14.237,   4.808,  -4.559,  -4.080,  14.267,  60.212,  58.887,  79.532,  92.450
1975, 107.510,  62.215,  65.158,  28.726,  -2.133,  -5.081,  -1.589,  18.350,  59.369,  61.107,  77.589, 115.234
1976, 117.712,  57.517,  56.539,  12.577,   6.827,  -1.548,  11.360,  41.596,  76.811,  84.569, 123.370, 140.285
1977, 115.293,  50.931,  20.212,  10.518,  -2.502,  -4.318,  -1.834,  26.501,  37.805,  78.877,  93.909, 112.529
1978, 102.808,  41.820,  27.635,  17.131,  -0.316,  -4.039,  -5.808,  -5.704,   9.427,  48.471,  92.838,  85.142
1979,  73.289,  25.065,  22.140,  10.855,   1.153,  -4.515,  -5.395,  -5.413,  -2.600,  26.292,  60.088,  79.028
1980,  64.542,  31.527,  21.641,   5.638,  -0.805,  -3.354,  -4.756,  -6.014,   6.402,  61.509,  71.509, 106.836
1981,  52.889,  21.215,  21.929,   9.895,   1.149,  -4.640,  -5.092,  -5.530,   8.094,  49.218,  67.151,  84.033
1982,  82.281,  24.405,  26.436,  16.023,  -2.453,  -2.373,  -4.806,  -3.510,  -0.305,  24.049,  71.159,  79.565
