Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  34.480,  50.140,  44.970,  66.650,  85.970, 113.440,  62.970, 219.560,  35.890,  67.830,  80.230,  76.740
1941,  36.710,  16.520,  38.330,  33.660,  60.470,  49.540,  86.730,  68.190,  51.460,  90.970,  39.170,  84.850
1942,  25.160,  83.500, 108.370, 147.800,  87.710, 115.690,  88.260,  60.310,  75.040,  76.900, 110.480,  80.030
1943,  49.510,  27.760,  67.910, 111.170, 234.020, 101.800,  98.990, 110.810,  71.140,  71.950,  51.120,  20.550
1944,  24.960,  43.920,  59.240, 183.830,  80.480,  78.500,  28.920,  83.990,  75.410,  33.480,  52.990,  65.650
1945,  53.710,  49.350,  72.500, 146.740, 188.020,  90.800,  56.890,  62.340, 202.610, 200.300,  51.740,  61.860
1946,  24.460,  54.750,  71.070,  26.400, 124.680, 151.810,  53.740,  34.740, 103.420,  62.610,  68.270,  49.550
1947,  81.650,  36.040,  37.160,  94.770, 157.530, 119.300, 106.990,  77.920, 113.860,  40.180,  86.430,  71.140
1948,  41.310,  35.260,  87.850,  76.600, 105.490, 145.620,  81.200,  47.980,  50.060,  41.990,  75.300,  64.900
1949, 123.010,  46.230, 102.150,  49.980,  77.150,  79.190,  78.330,  93.720,  75.530,  50.990,  53.300,  96.590
1950, 224.850, 160.210,  67.080, 193.730,  38.630,  50.180, 126.160,  93.110, 146.550, 107.580,  92.990,  52.710
1951,  94.290,  77.930,  92.280,  59.850,  71.050,  74.140,  55.080,  60.050,  87.030, 140.650, 137.520, 211.140
1952,  89.840,  42.260,  97.640,  59.370, 107.160,  27.690,  77.210,  92.020, 148.920,  49.960,  84.110,  42.700
1953,  57.230,  27.690,  71.800,  53.080, 112.550,  48.400,  55.490,  97.080,  46.640,  48.850,  33.400,  53.780
1954,  45.650,  50.420, 120.490, 111.500,  42.270,  76.970,  45.710,  73.640,  56.820, 129.910,  50.200,  39.530
1955,  39.700,  76.420,  85.290,  79.120,  39.220,  84.670,  47.770, 119.010,  27.370, 115.150,  96.350,  23.410
1956,  34.750,  67.850, 174.950,  52.380, 116.740,  58.690,  90.210, 121.240,  48.480,  25.960,  39.480,  63.090
1957,  46.010,  99.250,  67.870, 113.690,  70.400, 126.780,  91.940,  33.740,  93.570,  50.670,  74.090,  72.780
1958,  37.480,  29.890,  21.470,  65.380,  35.430, 101.160, 171.750,  92.030, 150.280,  37.200,  71.280,  27.160
1959, 128.350, 216.750,  62.650, 104.350,  72.470,  38.270,  89.580,  71.450,  84.540,  88.160,  72.000,  48.500
1960, 154.840,  51.380,  28.760,  54.620, 112.780,  75.530,  67.680,  90.830,  39.370,  27.600,  56.550,  23.630
1961,  22.510,  43.500,  52.360, 114.440,  79.130, 133.430,  67.620, 119.720, 100.470,  51.330,  91.030,  83.240
1962,  52.270,  50.350,  38.520,  31.960,  70.020, 110.990, 143.900,  77.520, 134.740,  88.820,  40.620,  47.970
1963,  25.420,  19.910,  79.040,  83.370,  48.190,  41.280,  93.590,  42.410,  24.290,  26.520,  62.380,  47.000
1964,  51.210,  21.740, 103.480, 108.310,  59.310,  48.630,  76.120, 108.140,  32.130,  28.300,  19.690,  71.900
1965,  66.390,  69.770,  52.300,  69.110,  36.960,  95.810,  36.780, 116.810,  65.340,  67.710,  72.370,  49.410
1966,  34.410,  44.910,  67.300,  70.260,  57.430,  71.020, 176.860, 134.890,  37.500,  22.290, 102.820, 144.580
1967,  28.590,  50.540,  66.410,  68.490, 101.880,  60.430,  94.300,  53.950,  77.610, 159.180,  61.650,  88.240
1968, 100.320,  41.840,  72.220,  88.870, 139.360, 258.760,  80.370, 111.220,  53.690,  56.900,  86.410,  69.400
1969,  46.030,  20.340,  73.420,  97.090, 105.540,  78.200, 101.370,  27.460,  47.380,  86.990,  66.020,  59.790
1970,  30.700,  40.250,  34.190,  90.060,  63.470,  62.750, 101.060,  24.720, 120.290, 136.020, 103.040,  48.220
1971,  44.900,  69.720,  36.480,  29.250,  77.150,  67.920,  70.460,  44.210, 100.580,  43.700,  53.800, 136.070
1972,  33.180,  30.890, 120.350,  74.510,  89.090, 116.650,  61.820, 107.080, 181.940,  39.550, 125.870,  65.680
1973,  47.280,  38.670, 108.870,  71.670,  96.960, 170.110,  65.650,  59.100,  50.900, 127.920,  65.290,  77.590
1974,  72.540,  38.860, 131.370,  66.690, 105.660,  74.450,  74.200,  57.010,  64.710,  56.430, 159.450,  97.400
1975,  60.980,  80.990,  51.680,  41.400,  81.340,  90.900,  55.020, 142.150,  71.900,  35.700,  61.190,  83.350
1976,  67.980, 147.110, 107.040,  63.640,  66.460, 110.350,  68.930,  41.590,  90.260,  68.130,  27.440,  70.310
1977,  44.470,  30.190, 104.870,  85.770,  59.780,  82.930, 174.430, 124.840, 122.880,  37.310,  79.240, 113.300
1978,  84.500,  13.220,  95.570,  91.130,  79.010, 105.160,  28.360,  90.950,  88.430,  67.290,  50.380,  61.250
1979,  98.180,  53.320,  59.600,  88.800,  73.640,  62.620, 111.110, 103.520,  81.290,  90.150,  82.940, 160.810
1980,  24.560,  34.540,  96.370, 101.350,  57.730, 105.540, 135.330, 103.530, 164.430,  58.330,  61.330,  63.190
1981,  32.980,  82.920,  35.250, 100.420,  73.090, 103.650,  86.710,  73.910, 114.510, 171.950,  42.900, 108.180
1982,  45.630,  64.090,  80.200,  53.630,  73.840, 141.380,  91.770,  44.720,  76.080,  21.180, 185.460,  74.230
1983,  38.710,  37.160,  54.320,  80.570,  76.880, 236.680,  68.820, 123.970,  90.820,  92.460, 107.570,  85.640
1984,  50.550,  81.610,  62.800,  68.870, 171.400,  80.040,  94.190,  61.880, 131.830,  49.250,  74.710,  75.640
1985,  56.780,  65.080,  69.210,  52.320,  93.520, 107.900,  87.460, 111.810,  73.900, 121.790, 347.940,  60.990
1986,  42.210,  50.810,  75.260,  76.270,  65.210, 116.190,  86.520, 127.980, 116.570,  79.050,  60.890, 104.980
1987,  67.720,   6.870,  53.080,  52.530,  58.510,  95.210,  81.210, 102.510, 101.710,  60.330,  42.100,  94.010
1988,  25.450,  98.550,  40.170,  55.790,  43.580,  18.690, 113.640,  81.680,  83.080,  97.640,  67.770,  58.030
1989,  51.010,  44.320,  98.710,  65.990, 169.240, 166.020,  61.290,  54.910,  67.520,  56.150, 110.100,  48.290
1990,  58.230,  78.160,  33.130, 142.060,  82.930,  54.610,  65.300, 105.160, 107.550, 101.290, 107.940, 132.510
1991,  53.480,  44.210,  61.380,  85.890,  85.840,  15.600,  62.670,  88.140,  42.820,  70.010,  97.230,  58.200
1992,  61.350,  30.680,  53.590,  67.340,  68.370,  52.250, 134.950,  89.120, 166.010,  61.050, 173.370,  50.570
1993, 132.470,  53.330,  76.270,  72.020,  36.990, 187.980,  54.640,  60.390, 106.340,  50.980,  76.040,  34.680
1994,  98.900,  26.020,  77.030,  77.040,  54.830, 137.990,  70.830,  81.300,  66.280,  38.280,  63.950,  77.340
1995,  69.160,  63.060,  35.270,  84.130,  75.590,  62.580, 114.860,  70.090,  28.850,  78.470, 119.280,  59.090
1996,  70.290,  41.470,  41.990, 197.170,  66.600, 146.630,  96.190,  35.060, 138.670,  98.200,  57.260,  89.100
1997,  55.200,  68.230, 110.520,  39.710, 161.910, 111.180, 101.110,  85.280, 118.990,  50.240,  54.950,  72.990
1998,  82.480,  55.420, 101.830, 103.490,  35.950, 120.780, 107.630, 142.050,  32.040,  35.400,  32.720,  32.400
1999,  83.950,  36.150,  53.690,  85.460,  57.040,  95.070,  52.980,  77.610,  76.700,  43.420,  38.750,  55.820
2000,  47.550,  31.430,  37.670,  80.820, 153.970, 186.600, 100.200,  72.050,  67.350,  44.620,  75.400,  87.490
2001,  60.250,  38.360,  75.700,  62.170, 120.890,  55.360,  33.570,  66.750,  86.540, 111.380,  61.160,  52.300
2002,  45.250,  45.450, 108.060,  86.430, 109.980,  38.650,  99.440,  57.440,  58.900,  42.580,  60.500,  79.340
2003,  37.700,  63.720,  38.350,  67.080, 141.430,  65.280, 172.320,  81.260, 217.900, 137.260,  84.300,  75.070
2004,  96.700,  12.870,  96.660,  77.750, 135.810,  97.000, 134.160,  81.550,  54.190,  50.060,  61.260, 115.600
2005,  94.760,  84.100,  72.690,  72.820,  48.780,  70.370, 166.060,  82.380,  91.330,  34.660, 152.690,  42.240
2006,  69.510,  48.160,  62.630,  60.280, 129.010, 110.490, 126.500, 160.680, 126.130, 127.180,  43.240,  90.440
2007, 130.200,  64.340,  71.620,  71.750,  38.130,  64.180,  55.330, 253.890,  72.100, 182.340, 127.400,  77.050
2008,  80.310, 241.800, 104.090,  56.970,  73.490, 174.670, 116.290,  48.790,  69.370,  65.950,  86.150,  97.640
2009,  67.670,  50.520, 124.430, 109.400,  61.300, 104.700,  61.960,  92.290,  66.550,  91.670,  37.830,  95.590
2010,  28.820,  65.470,  65.180,  78.850,  95.880, 108.910,  84.510,  42.870, 131.080,  52.840, 156.920,  50.200
2011,  51.880, 121.930,  67.330, 259.950, 133.850,  88.280, 125.630, 155.720, 142.680,  94.090, 162.260, 113.870
2012,  83.960,  36.550,  55.580,  39.490, 129.690,  70.910,  59.480,  57.820,  68.470, 156.120,  47.010,  97.470
2013,  68.150, 103.840,  52.870, 139.920,  44.920, 166.510, 156.470, 136.770,  44.920, 105.320,  76.960,  81.890
2014,  56.370,  82.450,  45.100,  93.440, 156.840, 179.860, 139.510,  73.870,  86.780,  77.920,  53.750,  41.950
2015,  56.280,  57.450,  46.800,  71.450, 107.880, 187.390,  96.930,  96.900,  83.540,  48.470,  70.890, 105.760
2016,  52.260,  92.630, 113.990, 103.710,  50.740,  49.980,  48.600,  87.030,  60.230,  67.110,  47.360,  74.390
2017, 150.880,  51.610, 124.120,  86.170, 131.790,  71.330, 166.920,  73.270,  42.430, 114.550, 123.210,  67.730
2018,  60.980, 106.420,  60.780,  70.830, 149.380,  76.480,  89.540,  89.530, 183.860,  75.370, 146.690,  54.280
2019, 106.450,  56.740,  59.410, 100.010,  92.300, 143.580, 103.340, 127.420,  51.420,  95.820,  58.760, 103.230
2020,  53.670,  47.550, 101.810,  71.940,  98.320,  37.960, 112.580,  61.200, 227.440, 151.570,  62.760, 150.790
2021,  29.150,  56.760,  30.930,  73.300,  65.490, 160.780, 133.670, 121.850, 155.680, 154.040,  53.060,  75.620
