Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  54.890,  31.270,  37.740,  44.180,  82.160,  94.780,  59.940, 116.830,  87.910,  65.530,  78.990,  55.790
1941,  52.510,  35.660,  31.890,  52.880,  55.580,  42.140,  59.140,  67.400,  96.700, 138.760,  70.940,  54.710
1942,  48.400,  35.350,  86.350,  33.500, 111.730,  72.900,  75.940,  53.130, 133.410,  63.960,  71.350,  80.650
1943,  58.240,  55.370,  74.120,  62.790,  86.800, 112.880,  65.560,  78.800,  57.000,  45.120,  76.130,  24.670
1944,  32.250,  37.370,  61.600,  47.610,  61.450,  88.410,  74.080,  47.950,  96.660,  28.270,  75.940,  47.760
1945,  33.780,  38.390,  42.920,  84.850, 127.630,  85.710,  61.050,  64.680, 138.540,  82.130,  61.920,  49.950
1946,  65.780,  46.030,  30.360,  21.570,  75.410,  76.910,  52.210,  53.480,  58.680,  45.490,  53.580,  82.240
1947,  66.250,  41.190,  56.590,  79.120, 135.170,  59.130,  89.540,  42.560, 103.280,  25.350,  61.510,  49.650
1948,  38.970,  39.530,  90.790,  64.640,  48.970,  79.940,  63.850,  37.670,  27.030,  47.260,  94.390,  46.150
1949,  69.120,  57.870,  47.920,  47.990,  48.540,  88.450,  73.640,  63.580,  57.510,  52.200,  53.710,  81.130
1950,  80.150,  74.620,  58.010,  80.490,  34.550,  72.750, 102.030,  72.080,  90.980,  52.540,  82.930,  57.660
1951,  72.490,  57.180,  64.120, 102.970,  46.610,  67.360, 107.470,  68.570,  84.800, 111.870,  67.290,  78.450
1952,  63.020,  34.600,  59.240,  75.940,  67.420,  48.550, 127.860,  79.610,  48.950,  17.380,  91.490,  53.420
1953,  48.090,  56.670,  65.290,  77.210, 103.290,  76.860,  79.100,  64.800,  99.800,  36.560,  42.900,  61.490
1954,  40.170,  53.500,  61.730,  97.270,  44.420, 131.970,  52.040,  55.380, 105.690, 144.850,  56.430,  53.870
1955,  43.390,  44.060,  50.460,  53.070,  63.960,  42.370,  43.070,  75.740,  23.980,  89.270,  68.390,  58.890
1956,  26.320,  47.820,  60.030,  80.540,  95.860,  74.350,  96.230, 115.850,  51.960,  21.220,  59.670,  47.100
1957,  43.820,  27.800,  37.030,  79.430,  91.030, 102.450,  78.200,  35.660, 104.430,  73.380,  87.870,  61.420
