Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  60.610,  25.230,  30.500,  57.200, 107.380, 126.230,  53.180, 142.610,  52.490,  59.020,  87.290,  34.390
1941,  50.260,  30.340,  35.540,  55.500,  79.550,  56.700,  59.400, 107.080, 130.520, 154.720,  75.780,  41.070
1942,  36.780,  24.920,  84.470,  38.510, 126.250,  95.890, 101.780,  70.830, 137.390,  65.410,  75.910,  71.990
1943,  53.370,  37.820,  68.050,  54.740, 111.010, 138.470,  63.140,  80.550,  50.320,  60.220,  61.590,  15.430
1944,  26.910,  32.320,  67.100,  56.240,  82.620, 113.900,  76.040,  71.580, 101.310,  23.820,  75.940,  31.970
1945,  25.980,  57.480,  36.800,  92.270, 120.700, 100.540,  71.220,  71.590, 125.170,  53.940, 114.680,  41.280
1946,  68.050,  35.520,  48.610,  22.330,  79.450, 105.290,  38.780,  62.640,  76.960,  50.610,  65.890,  48.100
1947,  41.000,  31.300,  35.990, 100.790, 114.100,  69.690,  65.540,  75.850, 115.020,  34.200,  54.370,  34.360
1948,  36.510,  48.550,  75.500,  70.230,  66.420,  76.080,  69.680,  42.390,  44.830,  31.710, 104.140,  47.440
1949,  60.940,  50.670,  48.630,  43.560,  64.020, 111.110, 121.560,  49.640,  70.630,  47.520,  57.750,  57.610
1950,  76.710,  49.560,  58.920,  86.080,  49.850,  85.400, 122.280,  72.370,  70.430,  36.150,  60.460,  62.340
1951,  36.670,  44.500,  67.490, 104.290,  62.050,  89.690, 122.470,  86.500, 104.620, 123.810,  57.910,  56.130
1952,  65.410,  17.460,  62.140,  56.170,  73.660,  80.130, 173.480,  95.210,  39.310,  13.690,  63.630,  46.080
1953,  40.650,  52.780,  53.750,  90.130,  65.070, 110.840,  97.830,  58.070,  55.990,  24.090,  33.560,  52.160
1954,  37.650,  47.170,  69.790, 132.970,  54.490, 136.040,  67.780,  54.460, 127.740, 136.750,  38.130,  35.120
1955,  30.530,  33.970,  45.900,  62.750,  69.400,  72.110,  65.090,  64.920,  31.900,  93.980,  58.820,  33.760
1956,  15.730,  25.800,  57.020,  69.430,  94.280,  78.460, 100.730,  94.150,  41.820,  13.400,  68.110,  34.520
1957,  30.110,  29.850,  32.700,  80.400, 106.160,  82.790,  71.930,  73.290,  62.530,  61.460,  85.880,  55.230
1958,  27.840,  21.240,  13.970,  59.890,  41.050,  84.970,  92.270,  95.480,  95.390,  57.060,  73.560,  27.280
1959,  42.910,  40.510,  48.150,  83.280,  78.340,  49.150,  85.910, 123.790, 105.820, 119.230,  51.760,  60.150
1960,  46.570,  47.930,  27.340,  92.960, 155.220,  85.670, 105.930, 104.700,  87.100,  61.280,  62.530,  18.560
1961,  16.140,  31.040,  71.090,  62.470,  44.000,  92.820,  98.350,  59.530, 157.610,  83.920,  67.250,  45.490
1962,  52.910,  58.910,  31.480,  49.480,  62.640,  75.910,  71.120,  93.980,  63.280,  59.350,  24.530,  47.840
1963,  29.200,  17.470,  58.980,  48.690,  82.700,  59.010,  62.930,  66.210,  75.050,  27.220,  62.770,  48.190
1964,  30.080,  15.840,  53.250,  92.370,  89.090,  47.820,  94.320,  94.500, 102.960,  26.480,  67.370,  41.250
1965,  61.080,  45.060,  54.230,  80.630,  83.400,  63.600,  56.930, 102.570, 188.090,  57.440,  73.690,  75.050
1966,  35.820,  36.670,  80.100,  66.070,  58.410,  57.160,  57.650,  92.130,  49.470,  64.350,  89.380,  68.340
