Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  61.140,  68.290,  73.850,  68.200, 117.400,  91.030,  71.030,  46.590,  74.000,  45.650, 105.000, 100.880
1941,  59.690,  49.180,  49.210,  33.490,  39.210,  38.960, 108.540,  77.930,  47.940, 116.360,  63.260,  70.260
1942,  67.080,  64.420,  98.500,  62.900, 130.980,  43.910,  95.700,  52.940, 122.780,  71.170,  82.810, 123.780
1943,  56.850,  66.640,  80.880,  80.990, 149.960,  71.290,  77.100,  92.310,  51.760, 107.840,  65.230,  28.200
1944,  31.910,  61.960,  72.800,  91.520,  69.840,  97.030,  68.690,  48.650,  89.130,  35.910,  60.690, 101.560
1945,  57.650,  66.430,  86.690, 101.060, 124.570,  76.140, 125.520,  57.180, 145.900, 119.410, 107.590,  50.850
1946,  62.300,  63.630,  34.600,  36.480,  92.950,  70.590,  67.810,  66.080,  83.520, 123.100,  82.360,  92.330
1947, 121.290,  48.680,  99.670,  83.860, 138.540, 112.480, 156.000,  50.940,  72.460,  21.320,  73.990,  63.940
1948,  56.930,  63.600,  96.920,  73.330,  94.030,  84.140,  67.480,  55.010,  32.930,  83.990, 114.470,  73.280
1949,  76.710,  72.230,  58.280,  79.180,  44.310,  30.740,  59.640,  79.930,  96.810,  51.750,  79.200,  90.210
1950, 118.780,  79.790,  84.870,  55.820,  50.280,  61.970,  73.070, 106.770,  55.460,  83.950, 127.250,  66.370
1951,  74.590,  81.230, 106.010, 119.330,  47.490,  97.100, 116.520,  65.940,  83.210,  59.310,  91.950, 107.050
1952,  78.460,  60.370,  61.150,  72.720, 109.630,  37.610,  76.140,  68.220,  75.010,  56.120,  76.210,  80.630
1953,  65.490,  48.500,  95.220,  59.830, 121.850,  58.980,  72.540,  80.690, 101.870,  26.630,  65.550,  73.700
1954,  67.690,  91.490, 100.810, 111.820,  56.350,  86.990,  35.850,  95.640,  95.450, 108.650,  85.930, 100.500
1955,  45.230,  54.510, 105.010,  63.090,  64.960,  35.620,  49.220, 114.460,  57.390, 219.420,  48.360,  49.830
1956,  45.250,  62.490,  85.120, 100.990, 114.490,  54.970,  80.160, 120.960,  80.610,  30.470,  56.700,  64.940
1957,  70.860,  43.170,  40.680,  78.580,  83.040, 118.780,  81.790,  31.030,  96.310,  46.960,  75.020,  96.670
