Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1940,  46.510,  27.840,  30.020,  47.380, 114.920,  90.590,  61.340,  71.140,  47.720,  42.970,  85.880,  38.610
1941,  44.140,  47.170,  21.460,  64.390,  70.850,  84.310,  71.920, 135.870, 151.990, 100.350,  47.990,  52.970
1942,  38.510,  23.730,  64.370,  44.790,  93.850,  58.160, 102.760,  82.870, 104.800,  81.870,  63.430,  48.700
1943,  45.950,  34.060,  39.220,  41.120,  86.200, 147.780,  59.060,  81.880,  44.650,  45.960,  64.990,  27.110
1944,  25.960,  34.390,  67.050,  33.810,  85.710, 139.120, 104.290, 104.110,  89.710,  37.050,  71.020,  50.820
1945,  32.260,  54.360,  41.910,  77.140,  60.390,  81.400,  67.840, 101.440,  87.990,  46.780,  77.000,  51.810
1946,  58.820,  43.430,  29.210,  38.190,  69.640, 132.910,  40.470,  84.660,  88.020,  99.810,  64.690,  59.830
1947,  45.330,  52.900,  31.630,  85.670,  78.750, 110.060,  57.660,  57.380,  98.460,  13.090,  70.980,  47.040
1948,  45.850,  33.550,  50.440,  81.820,  24.720,  61.710,  82.880,  74.530,  39.400,  45.690,  95.820,  56.860
1949,  61.360,  42.950,  47.370,  16.310,  78.730, 101.030, 115.880,  56.220,  89.140,  90.790,  63.610,  36.390
1950,  77.900,  34.930,  46.900,  69.470,  81.310, 108.250,  91.480,  68.420,  50.710,  69.190,  92.110,  53.850
1951,  24.430,  55.970,  76.980,  61.850,  50.960, 118.850,  73.100, 123.530, 130.390,  83.700,  54.290,  41.910
1952,  50.380,  18.050,  50.730,  41.300,  64.450, 113.230, 148.530,  99.850,  40.480,  27.760,  61.620,  37.380
1953,  52.360,  49.900,  50.680,  59.880, 112.680, 119.660,  99.650, 105.210,  77.530,  20.210,  56.050,  58.150
1954,  51.940,  36.370,  55.850,  92.540, 100.210,  93.870,  48.290,  59.410, 110.250,  75.950,  37.170,  22.630
1955,  37.730,  36.500,  65.180,  42.390,  68.980,  53.980, 112.520,  92.080,  88.000,  96.910,  82.760,  54.860
1956,  31.030,  18.480,  25.120,  41.070,  87.300,  80.080,  94.310,  72.290,  72.100,  28.310,  79.680,  59.550
1957,  29.290,  38.070,  36.870,  52.970,  57.470,  97.740,  81.730,  53.380, 126.480,  32.840,  97.950,  38.210
1958,  41.260,  21.800,  18.760,  39.190,  53.280,  97.380,  98.260, 108.990,  79.110,  49.080,  87.850,  46.590
1959,  30.960,  23.800,  37.710,  38.990,  99.410,  71.080,  67.860, 141.760, 140.310,  97.380,  54.290,  38.200
1960,  46.520,  33.590,  23.220, 126.120,  98.060,  92.480,  83.330,  85.920,  91.310,  60.400,  85.280,  39.640
1961,  20.440,  37.900,  54.970,  47.840,  83.390,  61.440,  78.840,  62.680, 136.080,  66.440,  62.610,  51.320
1962,  50.920,  57.940,  22.800,  54.150, 102.890,  49.970,  56.240, 119.150,  94.120,  40.770,  30.710,  54.540
1963,  29.710,  28.100,  39.910,  51.110,  66.830,  92.220,  57.890,  82.950,  62.940,  26.390,  68.310,  57.760
1964,  56.800,  28.010,  38.480,  80.200, 133.940, 120.800,  57.090, 125.480, 114.520,  57.810,  73.280,  64.180
1965,  41.280,  58.680,  36.600,  41.840, 110.670,  65.630,  76.530,  92.390, 139.840,  58.600, 111.910,  60.400
1966,  46.310,  27.010,  74.240,  54.560,  38.870,  57.990,  73.830, 122.700,  59.690, 100.710,  73.090,  58.190
1967,  70.520,  30.490,  36.560,  67.180,  40.680, 115.700,  62.690,  98.370,  37.800, 107.850,  51.660,  45.780
