YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1900-01,	 529.2,	0.277,	 1.00
1900-02,	 834.3,	0.277,	 1.00
1900-03,	1635.5,	0.277,	 1.00
1900-04,	 854.6,	0.277,	 1.00
1900-05,	  98.5,	0.277,	 1.00
1900-06,	 360.6,	0.277,	 1.00
1900-07,	 219.2,	0.277,	 1.00
1900-08,	  58.9,	0.277,	 1.00
1900-09,	   2.8,	0.277,	 1.00
1900-10,	   4.3,	0.277,	 1.00
1900-11,	 274.3,	0.277,	 1.00
1900-12,	 158.3,	0.277,	 1.00
1901-01,	 250.2,	0.277,	 1.00
1901-02,	 389.2,	0.277,	 1.00
1901-03,	1174.1,	0.277,	 1.00
1901-04,	 381.8,	0.277,	 1.00
1901-05,	 329.6,	0.277,	 1.00
1901-06,	 376.5,	0.277,	 1.00
1901-07,	 262.2,	0.277,	 1.00
1901-08,	   5.0,	0.277,	 1.00
1901-09,	   4.4,	0.277,	 1.00
1901-10,	  25.8,	0.277,	 1.00
1901-11,	  10.3,	0.277,	 1.00
1901-12,	 270.8,	0.277,	 1.00
1902-01,	   0.0,	0.000,	 0.00
1902-02,	   0.0,	0.000,	 0.00
1902-03,	   0.0,	0.000,	 0.00
1902-04,	   0.0,	0.000,	 0.00
1902-05,	   0.0,	0.000,	 0.00
1902-06,	   0.0,	0.000,	 0.00
1902-07,	   0.0,	0.000,	 0.00
1902-08,	   0.0,	0.000,	 0.00
1902-09,	   0.0,	0.000,	 0.00
1902-10,	   0.0,	0.000,	 0.00
1902-11,	   0.0,	0.000,	 0.00
1902-12,	   0.0,	0.000,	 0.00
1903-01,	   0.0,	0.000,	 0.00
1903-02,	   0.0,	0.000,	 0.00
1903-03,	   0.0,	0.000,	 0.00
1903-04,	   0.0,	0.000,	 0.00
1903-05,	  86.0,	0.107,	 0.39
1903-06,	 383.1,	0.277,	 1.00
1903-07,	  83.6,	0.277,	 1.00
1903-08,	  74.3,	0.277,	 1.00
1903-09,	 201.1,	0.277,	 1.00
1903-10,	  83.7,	0.277,	 1.00
1903-11,	  76.0,	0.277,	 1.00
1903-12,	  21.7,	0.089,	 0.32
1904-01,	   0.0,	0.000,	 0.00
1904-02,	   0.0,	0.000,	 0.00
1904-03,	1953.5,	0.179,	 0.65
