YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1900-01,	 NaN,	0.000,	 0.0
1900-02,	 NaN,	0.000,	 0.0
1900-03,	 NaN,	0.000,	 0.0
1900-04,	 NaN,	0.000,	 0.0
1900-05,	 NaN,	0.000,	 0.0
1900-06,	 NaN,	0.000,	 0.0
1900-07,	 NaN,	0.000,	 0.0
1900-08,	 NaN,	0.000,	 0.0
1900-09,	 NaN,	0.000,	 0.0
1900-10,	 NaN,	0.000,	 0.0
1900-11,	 NaN,	0.000,	 0.0
1900-12,	 NaN,	0.000,	 0.0
1901-01,	 NaN,	0.000,	 0.0
1901-02,	 NaN,	0.000,	 0.0
1901-03,	 NaN,	0.000,	 0.0
1901-04,	1318,	0.066,	 1.0
1901-05,	 550,	0.066,	 1.0
1901-06,	 328,	0.066,	 1.0
1901-07,	 300,	0.066,	 1.0
1901-08,	 273,	0.066,	 1.0
1901-09,	 305,	0.066,	 1.0
1901-10,	 351,	0.066,	 1.0
1901-11,	 312,	0.066,	 1.0
1901-12,	 247,	0.066,	 1.0
1902-01,	 229,	0.066,	 1.0
1902-02,	 172,	0.066,	 1.0
1902-03,	 547,	0.066,	 1.0
1902-04,	 476,	0.066,	 1.0
1902-05,	 494,	0.066,	 1.0
1902-06,	 361,	0.066,	 1.0
1902-07,	 303,	0.066,	 1.0
1902-08,	 307,	0.066,	 1.0
1902-09,	  82,	0.066,	 1.0
1902-10,	 249,	0.066,	 1.0
1902-11,	 412,	0.066,	 1.0
1902-12,	 215,	0.066,	 1.0
1903-01,	 251,	0.066,	 1.0
1903-02,	 311,	0.066,	 1.0
1903-03,	 942,	0.066,	 1.0
1903-04,	 660,	0.066,	 1.0
1903-05,	 353,	0.066,	 1.0
1903-06,	 245,	0.066,	 1.0
1903-07,	 274,	0.066,	 1.0
1903-08,	 470,	0.066,	 1.0
1903-09,	 444,	0.066,	 1.0
1903-10,	 386,	0.066,	 1.0
1903-11,	 243,	0.066,	 1.0
1903-12,	 214,	0.066,	 1.0
1904-01,	 213,	0.066,	 1.0
1904-02,	 255,	0.066,	 1.0
1904-03,	1707,	0.277,	 1.7
1904-04,	2286,	0.357,	 1.9
1904-05,	 174,	0.066,	 1.0
1904-06,	 114,	0.066,	 1.0
1904-07,	  36,	0.066,	 1.0
1904-08,	  36,	0.066,	 1.0
1904-09,	  33,	0.066,	 1.0
1904-10,	  37,	0.066,	 1.0
1904-11,	  34,	0.066,	 1.0
1904-12,	  34,	0.066,	 1.0
1905-01,	  38,	0.066,	 1.0
1905-02,	  33,	0.066,	 1.0
1905-03,	  98,	0.066,	 1.0
1905-04,	 147,	0.066,	 1.0
1905-05,	  97,	0.066,	 1.0
1905-06,	  70,	0.066,	 1.0
1905-07,	  38,	0.066,	 1.0
1905-08,	  37,	0.066,	 1.0
1905-09,	  29,	0.066,	 1.0
1905-10,	  34,	0.066,	 1.0
1905-11,	  49,	0.066,	 1.0
1905-12,	  43,	0.066,	 1.0
1906-01,	  74,	0.066,	 1.0
1906-02,	  71,	0.066,	 1.0
1906-03,	 102,	0.066,	 1.0
1906-04,	 254,	0.066,	 1.0
1906-05,	 120,	0.066,	 1.0
1906-06,	  56,	0.066,	 1.0
1906-07,	  63,	0.066,	 1.0
1906-08,	  32,	0.066,	 1.0
1906-09,	  19,	0.066,	 1.0
1906-10,	  49,	0.066,	 1.0
1906-11,	  87,	0.066,	 1.0
1906-12,	  76,	0.066,	 1.0
1907-01,	 102,	0.066,	 1.0
1907-02,	  64,	0.066,	 1.0
1907-03,	 142,	0.066,	 1.0
1907-04,	 126,	0.066,	 1.0
1907-05,	 130,	0.066,	 1.0
1907-06,	  88,	0.066,	 1.0
1907-07,	  40,	0.066,	 1.0
1907-08,	  35,	0.066,	 1.0
1907-09,	  36,	0.066,	 1.0
1907-10,	  34,	0.066,	 1.0
1907-11,	  49,	0.066,	 1.0
1907-12,	  52,	0.066,	 1.0
1908-01,	  43,	0.066,	 1.0
1908-02,	  54,	0.066,	 1.0
1908-03,	1749,	0.378,	 2.0
1908-04,	1067,	0.378,	 2.0
1908-05,	 919,	0.378,	 2.0
1908-06,	 150,	0.378,	 2.0
1908-07,	 115,	0.378,	 2.0
1908-08,	  59,	0.348,	 1.9
