YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1900-01,	 NaN,	0.000,	 0.0
1900-02,	 NaN,	0.000,	 0.0
1900-03,	 NaN,	0.000,	 0.0
1900-04,	 NaN,	0.000,	 0.0
1900-05,	 NaN,	0.000,	 0.0
1900-06,	 NaN,	0.000,	 0.0
1900-07,	 NaN,	0.000,	 0.0
1900-08,	 NaN,	0.000,	 0.0
1900-09,	 NaN,	0.000,	 0.0
1900-10,	 NaN,	0.000,	 0.0
1900-11,	 NaN,	0.000,	 0.0
1900-12,	 NaN,	0.000,	 0.0
1901-01,	 NaN,	0.000,	 0.0
1901-02,	 NaN,	0.000,	 0.0
1901-03,	2835,	0.123,	 1.0
1901-04,	1489,	0.123,	 1.0
1901-05,	 715,	0.123,	 1.0
1901-06,	 544,	0.123,	 1.0
1901-07,	 980,	0.123,	 1.0
1901-08,	 441,	0.123,	 1.0
1901-09,	 446,	0.123,	 1.0
1901-10,	 545,	0.123,	 1.0
1901-11,	 473,	0.123,	 1.0
1901-12,	 706,	0.123,	 1.0
1902-01,	 516,	0.123,	 1.0
1902-02,	 455,	0.123,	 1.0
1902-03,	1484,	0.123,	 1.0
1902-04,	1095,	0.123,	 1.0
1902-05,	1220,	0.123,	 1.0
1902-06,	 753,	0.123,	 1.0
1902-07,	1672,	0.123,	 1.0
1902-08,	 525,	0.123,	 1.0
1902-09,	 394,	0.123,	 1.0
1902-10,	 853,	0.123,	 1.0
1902-11,	 998,	0.123,	 1.0
1902-12,	1034,	0.123,	 1.0
1903-01,	1353,	0.123,	 1.0
1903-02,	2415,	0.123,	 1.0
1903-03,	2855,	0.123,	 1.0
1903-04,	2269,	0.123,	 1.0
1903-05,	 737,	0.123,	 1.0
1903-06,	 586,	0.123,	 1.0
1903-07,	 787,	0.167,	 2.0
1903-08,	 880,	0.167,	 2.0
1903-09,	1416,	0.187,	 3.0
1903-10,	1453,	0.187,	 3.0
1903-11,	 926,	0.187,	 3.0
1903-12,	 864,	0.167,	 2.0
1904-01,	 821,	0.167,	 2.0
1904-02,	 906,	0.167,	 2.0
1904-03,	4033,	0.167,	 2.0
1904-04,	3332,	0.187,	 3.0
1904-05,	1893,	0.187,	 3.0
1904-06,	1036,	0.187,	 3.0
1904-07,	 729,	0.187,	 3.0
1904-08,	 641,	0.187,	 3.0
1904-09,	 709,	0.187,	 3.0
1904-10,	 961,	0.187,	 3.0
1904-11,	 704,	0.187,	 3.0
1904-12,	 718,	0.187,	 3.0
1905-01,	 667,	0.167,	 2.0
1905-02,	 668,	0.167,	 2.0
1905-03,	1933,	0.167,	 2.0
1905-04,	1931,	0.187,	 3.0
1905-05,	1842,	0.187,	 3.0
1905-06,	3283,	0.187,	 3.0
1905-07,	1120,	0.187,	 3.0
1905-08,	 963,	0.187,	 3.0
1905-09,	 934,	0.187,	 3.0
1905-10,	 910,	0.187,	 3.0
1905-11,	1022,	0.187,	 3.0
1905-12,	1010,	0.187,	 3.0
1906-01,	 415,	0.044,	 1.0
1906-02,	 356,	0.044,	 1.0
1906-03,	 385,	0.044,	 1.0
1906-04,	1317,	0.065,	 2.0
1906-05,	 758,	0.065,	 2.0
1906-06,	 737,	0.088,	 3.0
1906-07,	 549,	0.088,	 3.0
1906-08,	 441,	0.088,	 3.0
1906-09,	 485,	0.088,	 3.0
1906-10,	 483,	0.088,	 3.0
1906-11,	 657,	0.088,	 3.0
1906-12,	 641,	0.088,	 3.0
1907-01,	 488,	0.067,	 2.0
1907-02,	 403,	0.067,	 2.0
1907-03,	 638,	0.067,	 2.0
1907-04,	1023,	0.088,	 3.0
1907-05,	1293,	0.088,	 3.0
1907-06,	 713,	0.088,	 3.0
1907-07,	 473,	0.088,	 3.0
1907-08,	 398,	0.088,	 3.0
1907-09,	 545,	0.088,	 3.0
1907-10,	 529,	0.088,	 3.0
1907-11,	 490,	0.088,	 3.0
1907-12,	 435,	0.088,	 3.0
1908-01,	 353,	0.067,	 2.0
1908-02,	 365,	0.067,	 2.0
1908-03,	 475,	0.067,	 2.0
1908-04,	1249,	0.088,	 3.0
1908-05,	1063,	0.088,	 3.0
1908-06,	 604,	0.088,	 3.0
1908-07,	 582,	0.147,	 4.0
1908-08,	 426,	0.147,	 4.0
