YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1900-01,	 NaN,	0.000,	 0.00
1900-02,	 NaN,	0.000,	 0.00
1900-03,	 NaN,	0.000,	 0.00
1900-04,	 NaN,	0.000,	 0.00
1900-05,	 NaN,	0.000,	 0.00
1900-06,	 NaN,	0.000,	 0.00
1900-07,	 NaN,	0.000,	 0.00
1900-08,	 NaN,	0.000,	 0.00
1900-09,	 NaN,	0.000,	 0.00
1900-10,	 274,	0.184,	 1.00
1900-11,	 420,	0.184,	 1.00
1900-12,	1439,	0.184,	 1.00
1901-01,	 822,	0.184,	 1.00
1901-02,	 551,	0.184,	 1.00
1901-03,	1426,	0.184,	 1.00
1901-04,	2812,	0.184,	 1.00
1901-05,	1647,	0.184,	 1.00
1901-06,	1083,	0.184,	 1.00
1901-07,	 665,	0.184,	 1.00
1901-08,	 422,	0.184,	 1.00
1901-09,	 465,	0.184,	 1.00
1901-10,	 468,	0.184,	 1.00
1901-11,	 551,	0.184,	 1.00
1901-12,	1351,	0.184,	 1.00
1902-01,	1308,	0.184,	 1.00
1902-02,	 937,	0.184,	 1.00
1902-03,	2783,	0.184,	 1.00
1902-04,	1853,	0.184,	 1.00
1902-05,	 986,	0.184,	 1.00
1902-06,	 933,	0.184,	 1.00
1902-07,	1209,	0.184,	 1.00
1902-08,	1050,	0.184,	 1.00
1902-09,	 459,	0.184,	 1.00
1902-10,	 698,	0.184,	 1.00
1902-11,	 870,	0.184,	 1.00
1902-12,	 768,	0.184,	 1.00
1903-01,	1376,	0.184,	 1.00
1903-02,	1489,	0.184,	 1.00
1903-03,	2546,	0.184,	 1.00
1903-04,	2443,	0.184,	 1.00
1903-05,	 982,	0.184,	 1.00
1903-06,	 675,	0.184,	 1.00
1903-07,	 638,	0.184,	 1.00
1903-08,	 526,	0.184,	 1.00
1903-09,	 651,	0.184,	 1.00
1903-10,	1191,	0.184,	 1.00
1903-11,	1219,	0.184,	 1.00
1903-12,	 961,	0.184,	 1.00
1904-01,	1198,	0.184,	 1.00
1904-02,	1885,	0.184,	 1.00
1904-03,	3287,	0.184,	 1.00
1904-04,	4316,	0.267,	 1.90
1904-05,	2521,	0.276,	 2.00
1904-06,	1186,	0.276,	 2.00
1904-07,	 666,	0.276,	 2.00
1904-08,	 510,	0.276,	 2.00
1904-09,	 480,	0.276,	 2.00
1904-10,	 662,	0.276,	 2.00
1904-11,	 625,	0.276,	 2.00
1904-12,	 656,	0.276,	 2.00
1905-01,	1159,	0.264,	 1.87
1905-02,	 588,	0.184,	 1.00
1905-03,	1836,	0.225,	 1.45
1905-04,	2435,	0.276,	 2.00
1905-05,	 949,	0.276,	 2.00
1905-06,	 953,	0.276,	 2.00
1905-07,	 855,	0.276,	 2.00
1905-08,	 594,	0.276,	 2.00
1905-09,	 591,	0.276,	 2.00
1905-10,	 534,	0.276,	 2.00
1905-11,	 818,	0.276,	 2.00
1905-12,	1115,	0.276,	 2.00
1906-01,	1296,	0.276,	 2.00
1906-02,	1394,	0.276,	 2.00
1906-03,	1157,	0.276,	 2.00
1906-04,	1766,	0.276,	 2.00
1906-05,	1455,	0.276,	 2.00
1906-06,	1015,	0.276,	 2.00
1906-07,	 736,	0.276,	 2.00
1906-08,	 488,	0.276,	 2.00
1906-09,	 324,	0.276,	 2.00
1906-10,	 590,	0.276,	 2.00
1906-11,	 849,	0.276,	 2.00
1906-12,	1368,	0.276,	 2.00
1907-01,	2862,	0.276,	 2.00
1907-02,	 939,	0.184,	 1.00
1907-03,	1576,	0.231,	 1.52
1907-04,	1915,	0.276,	 2.00
1907-05,	1273,	0.199,	 1.58
1907-06,	 626,	0.245,	 1.83
1907-07,	 596,	0.276,	 2.00
1907-08,	 384,	0.276,	 2.00
1907-09,	 264,	0.276,	 2.00
1907-10,	 428,	0.276,	 2.00
1907-11,	 968,	0.276,	 2.00
1907-12,	1380,	0.276,	 2.00
1908-01,	1922,	0.276,	 2.00
1908-02,	2328,	0.276,	 2.00
1908-03,	3011,	0.276,	 2.00
1908-04,	2298,	0.233,	 1.77
1908-05,	2576,	0.276,	 2.00
