YYYY-MM,	flow_cms,	fraction_gauged,	total_gauges
1900-01,	 NaN,	0.000,	 0.000
1900-02,	 NaN,	0.000,	 0.000
1900-03,	 NaN,	0.000,	 0.000
1900-04,	 NaN,	0.000,	 0.000
1900-05,	 NaN,	0.000,	 0.000
1900-06,	 NaN,	0.000,	 0.000
1900-07,	 NaN,	0.000,	 0.000
1900-08,	 NaN,	0.000,	 0.000
1900-09,	 NaN,	0.000,	 0.000
1900-10,	 NaN,	0.000,	 0.000
1900-11,	 NaN,	0.000,	 0.000
1900-12,	 NaN,	0.000,	 0.000
1901-01,	 NaN,	0.000,	 0.000
1901-02,	 NaN,	0.000,	 0.000
1901-03,	 NaN,	0.000,	 0.000
1901-04,	 NaN,	0.000,	 0.000
1901-05,	 NaN,	0.000,	 0.000
1901-06,	 NaN,	0.000,	 0.000
1901-07,	 NaN,	0.000,	 0.000
1901-08,	 NaN,	0.000,	 0.000
1901-09,	 NaN,	0.000,	 0.000
1901-10,	 NaN,	0.000,	 0.000
1901-11,	 NaN,	0.000,	 0.000
1901-12,	 NaN,	0.000,	 0.000
1902-01,	 NaN,	0.000,	 0.000
1902-02,	 NaN,	0.000,	 0.000
1902-03,	 NaN,	0.000,	 0.000
1902-04,	 NaN,	0.000,	 0.000
1902-05,	 NaN,	0.000,	 0.000
1902-06,	 NaN,	0.000,	 0.000
1902-07,	 NaN,	0.000,	 0.000
1902-08,	 NaN,	0.000,	 0.000
1902-09,	 NaN,	0.000,	 0.000
1902-10,	 NaN,	0.000,	 0.000
1902-11,	 NaN,	0.000,	 0.000
1902-12,	 NaN,	0.000,	 0.000
1903-01,	 NaN,	0.000,	 0.000
1903-02,	 NaN,	0.000,	 0.000
1903-03,	 NaN,	0.000,	 0.000
1903-04,	 NaN,	0.000,	 0.000
1903-05,	 NaN,	0.000,	 0.000
1903-06,	 NaN,	0.000,	 0.000
1903-07,	 NaN,	0.000,	 0.000
1903-08,	 NaN,	0.000,	 0.000
1903-09,	 NaN,	0.000,	 0.000
1903-10,	 NaN,	0.000,	 0.000
1903-11,	 NaN,	0.000,	 0.000
1903-12,	 NaN,	0.000,	 0.000
1904-01,	 NaN,	0.000,	 0.000
1904-02,	 NaN,	0.000,	 0.000
1904-03,	 NaN,	0.000,	 0.000
1904-04,	 NaN,	0.000,	 0.000
1904-05,	 NaN,	0.000,	 0.000
1904-06,	 NaN,	0.000,	 0.000
1904-07,	 NaN,	0.000,	 0.000
1904-08,	 NaN,	0.000,	 0.000
1904-09,	 NaN,	0.000,	 0.000
1904-10,	 NaN,	0.000,	 0.000
1904-11,	 NaN,	0.000,	 0.000
1904-12,	 NaN,	0.000,	 0.000
1905-01,	 NaN,	0.000,	 0.000
1905-02,	 NaN,	0.000,	 0.000
1905-03,	 NaN,	0.000,	 0.000
1905-04,	 NaN,	0.000,	 0.000
1905-05,	 NaN,	0.000,	 0.000
1905-06,	 NaN,	0.000,	 0.000
1905-07,	 NaN,	0.000,	 0.000
1905-08,	 NaN,	0.000,	 0.000
1905-09,	 NaN,	0.000,	 0.000
1905-10,	 NaN,	0.000,	 0.000
1905-11,	 NaN,	0.000,	 0.000
1905-12,	 NaN,	0.000,	 0.000
